Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/27/2021,12/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
12/27/2021,12/28/2021,AUBUCHON HARDWARE,Home,Sale,-3.49,
12/26/2021,12/27/2021,MICHAELS STORES 1239,Shopping,Sale,-57.25,
12/26/2021,12/27/2021,LOWES #02375*,Home,Sale,-20.75,
12/24/2021,12/26/2021,STAPLES       00115253,Shopping,Sale,-16.97,
12/24/2021,12/26/2021,VANILLAGIFT.COM,Shopping,Sale,-100.00,
12/23/2021,12/26/2021,SHAWS OSCO 2584,Groceries,Sale,-115.60,
12/23/2021,12/26/2021,CVS/PHARMACY #00973,Health & Wellness,Sale,-57.13,
12/24/2021,12/26/2021,SHAWS OSCO 2584,Groceries,Sale,-73.71,
12/24/2021,12/26/2021,MICHAELS STORES 1239,Shopping,Sale,-9.08,
12/23/2021,12/26/2021,USPS PO 2479390775,Shopping,Sale,-34.32,
12/23/2021,12/26/2021,IDYLWILDE FARMS INC,Groceries,Sale,-71.10,
12/24/2021,12/26/2021,BED BATH &amp; BEYOND 1414,Home,Sale,-16.99,
12/23/2021,12/24/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-330.70,
12/23/2021,12/24/2021,110 GRILL MAYNARD,Food & Drink,Sale,-48.07,
12/23/2021,12/24/2021,MARKET BASKET 00000877,Groceries,Sale,-13.91,
12/21/2021,12/23/2021,STAPLES       00102467,Shopping,Sale,-48.38,
12/19/2021,12/23/2021,MAYNARD OUTDOOR STORE INC,Shopping,Return,34.95,
12/21/2021,12/23/2021,SHAWS OSCO 2584,Groceries,Sale,-19.81,
12/22/2021,12/22/2021,AMZN Mktp US*K854C8ZR3,Shopping,Sale,-197.60,
12/20/2021,12/22/2021,STAPLES       00115253,Shopping,Sale,-60.33,
12/21/2021,12/22/2021,MCDONALD'S F4857,Food & Drink,Sale,-4.80,
12/20/2021,12/22/2021,STAPLES       00115253,Shopping,Sale,-2.61,
12/21/2021,12/22/2021,LOWES #01858*,Home,Sale,-10.87,
12/20/2021,12/21/2021,NAME-CHEAP.COM* Q5BET7,Professional Services,Sale,-28.32,
12/19/2021,12/21/2021,SHAWS OSCO 2584,Groceries,Sale,-113.27,
12/20/2021,12/21/2021,AMZN Mktp US*UE8TB23O3,Shopping,Sale,-72.22,
12/20/2021,12/20/2021,LANDS END,Shopping,Return,180.28,
12/20/2021,12/20/2021,LANDS END,Shopping,Return,32.97,
12/18/2021,12/20/2021,EXXONMOBIL    97442933,Gas,Sale,-46.18,
12/18/2021,12/20/2021,STAPLES DIRECT,Shopping,Sale,-35.69,
12/19/2021,12/20/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-74.95,
12/19/2021,12/20/2021,TST* FRANK PEPE S PIZZERI,Food & Drink,Sale,-29.69,
12/17/2021,12/19/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-150.00,
12/17/2021,12/19/2021,CVS/PHARMACY #00973,Health & Wellness,Sale,-66.92,
12/18/2021,12/19/2021,LANDS END BURLINGTO 813,Shopping,Sale,-77.33,
12/18/2021,12/19/2021,MAYNARD OUTDOOR STORE INC,Shopping,Sale,-337.65,
12/18/2021,12/19/2021,ERIKSON GRAIN MILL,Shopping,Sale,-11.31,
12/17/2021,12/19/2021,USPS PO 2479390775,Shopping,Sale,-20.15,
12/17/2021,12/19/2021,SHAWS OSCO 2584,Groceries,Sale,-37.72,
12/18/2021,12/19/2021,AMZN Mktp US*5B0BQ0273,Shopping,Sale,-49.81,
12/16/2021,12/17/2021,110 GRILL MAYNARD,Food & Drink,Sale,-49.07,
